,도로조건,계약면적(㎡),건축년도,year,month,coivd,price_per_m2,전월세구분_월세,전월세구분_전세
361,12,40.0,2016,2019,2,0,222.05,True,False
362,8,40.0,1988,2019,12,0,137.5,False,True
363,12,42.0,2014,2019,2,0,278.7142857142857,True,False
364,12,42.0,2004,2019,7,0,109.52380952380952,False,True
365,12,44.4,2016,2019,5,0,127.9054054054054,True,False
366,12,45.0,2011,2019,1,0,187.22222222222223,True,False
367,8,46.2,2016,2019,1,0,181.73160173160173,True,False
368,12,49.58,2005,2019,10,0,192.7591770875353,True,False
369,12,50.0,2016,2019,8,0,160.36,True,False
370,12,50.0,2007,2019,2,0,235.88,True,False
371,12,50.0,2016,2019,8,0,206.36,True,False
372,12,50.0,2016,2019,11,0,204.12,True,False
373,12,50.0,2014,2019,9,0,220.0,True,False
374,12,50.0,2016,2019,6,0,140.0,False,True
375,8,52.8,2011,2019,5,0,135.0757575757576,True,False
376,12,52.89,2015,2019,5,0,113.44299489506523,False,True
377,8,55.0,2010,2019,9,0,90.9090909090909,False,True
378,25,55.0,2012,2019,10,0,127.27272727272727,False,True
379,8,55.0,2010,2019,10,0,90.9090909090909,False,True
380,25,56.0,2012,2019,8,0,21.428571428571427,False,True
381,12,56.57,2008,2019,5,0,135.407459784338,True,False
382,8,57.0,1993,2019,8,0,92.50877192982456,True,False
383,8,58.0,2016,2019,2,0,190.67241379310346,True,False
384,12,58.0,2006,2019,6,0,86.6896551724138,True,False
385,25,58.56,2000,2019,11,0,149.16325136612022,True,False
386,8,60.0,2016,2019,11,0,181.86666666666667,True,False
387,12,60.0,2004,2019,12,0,87.15,True,False
388,8,60.0,2011,2019,5,0,222.01666666666668,True,False
389,12,62.5,2016,2019,1,0,208.0,True,False
390,8,66.11,2012,2019,10,0,128.57358947209198,False,True
391,12,77.29,2005,2019,4,0,152.5682494501229,True,False
392,12,77.29,2005,2019,4,0,152.5682494501229,True,False
393,12,77.29,2005,2019,12,0,160.58998576788716,True,False
394,8,79.67,1999,2019,5,0,78.6243253420359,True,False
395,12,80.0,2012,2019,9,0,125.0,False,True
396,8,81.0,1989,2019,2,0,128.54320987654322,True,False
397,12,82.5,2016,2019,8,0,161.9878787878788,True,False
398,12,82.5,2016,2019,8,0,105.45454545454545,True,False
399,8,84.82,2016,2019,9,0,176.84508370667297,False,True
400,8,88.62,1990,2019,9,0,129.13563529677273,True,False
401,12,89.0,2016,2019,10,0,155.17977528089887,True,False
402,8,99.0,2016,2019,6,0,121.21212121212122,False,True
403,12,99.86,2009,2019,10,0,122.81193671139596,True,False
404,12,106.0,2004,2019,11,0,113.20754716981132,False,True
405,12,106.75,2015,2019,6,0,147.23185011709603,True,False
406,12,106.75,2015,2019,6,0,147.23185011709603,True,False
407,12,108.8,1992,2019,3,0,110.56066176470588,True,False
408,12,115.72,1997,2019,3,0,60.49083995852057,False,True
409,12,123.0,2014,2019,11,0,162.60162601626016,False,True
410,8,140.0,2010,2019,6,0,99.05714285714286,True,False
411,12,140.0,2004,2019,10,0,85.71428571428571,False,True
412,8,30.0,2001,2019,3,0,163.53333333333333,True,False
413,25,32.78,1995,2019,8,0,248.20012202562538,True,False
414,8,50.0,1997,2019,4,0,80.0,False,True
415,12,50.96,1988,2019,5,0,108.47723704866561,True,False
416,8,63.6,2018,2019,6,0,78.61635220125785,False,True
417,8,77.15,2011,2019,2,0,129.61762799740762,False,True
418,12,82.79,1984,2019,2,0,72.47252083584974,False,True
419,8,138.25,2005,2019,9,0,35.037974683544306,True,False
420,8,12.0,2015,2019,2,0,600.5,True,False
421,8,12.0,2015,2019,4,0,649.3333333333334,True,False
422,8,13.22,2005,2019,2,0,378.66868381240545,True,False
423,12,13.22,1990,2019,12,0,460.06051437216337,True,False
424,12,15.5,1982,2019,9,0,146.58064516129033,True,False
425,12,16.13,2015,2019,1,0,326.3484190948543,True,False
426,8,16.5,2015,2019,8,0,402.72727272727275,True,False
427,12,19.8,2015,2019,3,0,291.16161616161617,True,False
428,12,19.8,2010,2019,3,0,407.32323232323233,True,False
429,8,19.83,2009,2019,12,0,183.00554715078167,True,False
430,12,20.0,2002,2019,4,0,288.0,True,False
431,8,20.0,2017,2019,5,0,374.05,True,False
432,12,20.0,2014,2019,2,0,502.35,True,False
433,8,20.0,2015,2019,7,0,358.35,True,False
434,12,20.0,2013,2019,2,0,332.65,True,False
435,8,20.0,2011,2019,1,0,455.2,True,False
436,12,20.0,2014,2019,2,0,304.1,True,False
437,8,23.0,2014,2019,4,0,259.1304347826087,True,False
438,8,23.0,2014,2019,2,0,171.34782608695653,True,False
439,8,23.0,2009,2019,12,0,130.43478260869566,False,True
440,8,23.1,2017,2019,1,0,335.28138528138527,True,False
441,8,24.0,2019,2019,3,0,363.9583333333333,True,False
442,12,25.0,2011,2019,3,0,290.36,True,False
443,8,25.0,2011,2019,10,0,279.68,True,False
444,8,25.0,2017,2019,2,0,268.24,True,False
445,12,25.0,2012,2019,8,0,269.8,True,False
446,8,25.0,2017,2019,12,0,322.6,True,False
447,12,25.0,2015,2019,9,0,152.0,False,True
448,8,25.0,2014,2019,1,0,120.0,False,True
449,8,25.0,2017,2019,8,0,220.0,False,True
450,12,26.0,2019,2019,7,0,275.65384615384613,True,False
451,12,26.0,2010,2019,2,0,317.88461538461536,True,False
452,12,26.0,2019,2019,6,0,290.1923076923077,True,False
453,8,26.4,2017,2019,8,0,308.1818181818182,True,False
454,8,26.4,2013,2019,2,0,285.18939393939394,True,False
455,8,26.4,2012,2019,1,0,151.51515151515153,False,True
456,12,26.44,2004,2019,9,0,175.642965204236,True,False
457,12,26.65,2019,2019,6,0,187.6172607879925,False,True
458,8,27.0,2016,2019,1,0,250.5185185185185,True,False
459,12,27.97,2014,2019,4,0,227.31498033607437,True,False
460,8,28.0,2016,2019,1,0,328.5,True,False
461,8,28.0,2017,2019,12,0,264.7142857142857,True,False
462,8,28.0,2009,2019,9,0,205.57142857142858,True,False
463,8,28.0,2004,2019,7,0,248.82142857142858,True,False
464,8,28.0,2007,2019,3,0,168.07142857142858,True,False
465,12,28.0,2017,2019,4,0,292.7857142857143,True,False
466,8,29.5,2012,2019,5,0,278.8135593220339,True,False
467,8,29.5,2012,2019,3,0,250.23728813559322,True,False
468,8,29.7,2010,2019,4,0,158.82154882154882,True,False
469,8,30.0,2017,2019,3,0,291.1666666666667,True,False
470,8,30.0,2016,2019,12,0,238.63333333333333,True,False
471,8,30.0,2018,2019,12,0,284.5,True,False
472,12,30.0,2017,2019,8,0,228.16666666666666,True,False
473,12,30.0,2017,2019,7,0,248.13333333333333,True,False
474,8,30.0,2016,2019,8,0,228.16666666666666,True,False
475,12,30.0,2008,2019,2,0,241.96666666666667,True,False
476,12,30.0,2008,2019,3,0,241.96666666666667,True,False
477,12,30.0,2010,2019,2,0,281.1666666666667,True,False
