"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20121101 ~ 20131101"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 진주시"
"읍면동 : 가좌동"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","59.27","201212","20","16,950","12","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","59.27","201212","29","16,500","16","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","59.27","201301","16","15,400","2","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","59.27","201301","19","16,650","12","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","59.27","201301","29","17,000","18","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","84.9","201302","12","22,400","14","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","84.9","201302","13","22,500","6","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","59.27","201303","2","16,900","15","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","59.27","201303","9","16,950","10","2005","내동로348번길 10","","-","-"
"경상남도 진주시 가좌동","573-1","0573","0001","주공그린빌","84.9","201303","11","23,300","18","2005","내동로348번길 10","","-","-"
